"Season","RB","CL"
2015,"882_1",200
2015,"882_2",200
2015,"882_3",200
2015,"882_4",200
2015,"5841_1",125
2015,"5841_2",90
2015,"5841_3",280
2015,"5841_4",35
2015,"5841_5",26
2015,"5842_1",35
2015,"486_2",170
2015,"486_3",50
2015,"486_4",100
2015,"486_5",190
2016,"882_1",200
2016,"882_2",200
2016,"882_3",200
2016,"882_4",200
2016,"486_2",170
2016,"486_3",50
2016,"486_4",100
2016,"486_5",190
2016,"5841_1",80
2016,"5841_2",81
2016,"5841_3",233
2016,"5841_4",13
2016,"5841_5",35
2016,"5842_1",35
2016,"5843a_1",32
2017,"486_2",170
2017,"486_3",50
2017,"486_4",100
2017,"486_5",190
2017,"5841_1",80
2017,"5841_2",81
2017,"5841_3",233
2017,"5841_4",13
2017,"5841_5",35
2017,"5841_6",90
2017,"5842_1",35
2017,"5843a_1",32
2017,"882H",200
2017,"882_1",200
2017,"882_2",200
2017,"882_3",200
2017,"882_4",200
2017,"882_1",200
2017,"882_2",200
2017,"882_3",200
2017,"882_4",200
2017,"882H",200
2018,"486_2",169
2018,"486_3",40
2018,"486_4",120
2018,"486_5",228
2018,"5841_1",96
2018,"5841_2",97
2018,"5841_3",186
2018,"5841_4",16
2018,"5841_5",42
2018,"5841_6",108
2018,"5842_1",42
2018,"5843a_1",38
2018,"882_1",200
2018,"882_2",200
2018,"882_3",200
2018,"882_4",200
2018,"882H",200
2019,"486_2",175
2019,"486_3",32
2019,"486_4",144
2019,"486_5",274
2019,"5841_1",115
2019,"5841_2",116
2019,"5841_3",149
2019,"5841_4",19
2019,"5841_5",50
2019,"5841_6",130
2019,"5842_1",50
2019,"5843a_1",30
2019,"882_1",240
2019,"882_2",240
2019,"882_3",160
2019,"882_4",160
2019,"882H",200
2020,"486_2",140
2020,"486_3",38
2020,"486_4",163
2020,"486_5",329
2020,"5841_1",138
2020,"5841_2",139
2020,"5841_3",119
2020,"5841_4",23
2020,"5841_5",60
2020,"5841_6",104
2020,"5842_1",60
2020,"5843a_1",24
2020,"5844b_1",23
2020,"5844b_2",18
2020,"882_1",192
2020,"882_2",232
2020,"882_3",182
2020,"882_4",128
2020,"883_1",16
2020,"883_10",10
2020,"883_2",20
2020,"883_3",60
2020,"883_4",60
2020,"883_5",8
2020,"883_6",30
2020,"883_7",30
2020,"883_8",10
2020,"883_9",10
2020,"882H",160
2021,"486_2",112
2021,"486_3",30
2021,"486_4",163
2021,"486_5",263
2021,"5841_1",138
2021,"5841_2",139
2021,"5841_3",119
2021,"5841_4",23
2021,"5841_5",60
2021,"5841_6",104
2021,"5842_1",60
2021,"5843a_1",19
2021,"5844b_1",18
2021,"5844b_2",14
2021,"882_1",192
2021,"882_2",186
2021,"882_3",170
2021,"882_4",128
2021,"882H",128
2022,"486_2",134
2022,"486_3",36
2022,"486_4",196
2022,"486_5",210
2022,"5841_1",138
2022,"5841_2",139
2022,"5841_3",119
2022,"5841_4",23
2022,"5841_5",60
2022,"5841_6",104
2022,"5842_1",72
2022,"5842_2",55
2022,"5843a_1",19
2022,"882_1",230
2022,"882_2",223
2022,"882_3",204
2022,"882_4",154
2022,"883_1",16
2022,"883_10",10
2022,"883_2",20
2022,"883_3",60
2022,"883_4",60
2022,"883_5",8
2022,"883_6",30
2022,"883_7",30
2022,"883_8",10
2022,"883_9",10
2022,"882H",102
2023,"486_2",123
2023,"486_3",37
2023,"486_4",157
2023,"486_5",168
2023,"5841_1",138
2023,"5841_2",139
2023,"5841_3",79
2023,"5841_4",46
2023,"5841_5",60
2023,"5841_6",104
2023,"5842_1",86
2023,"5842_2",258
2023,"5843a_1",0
2023,"882_1",230
2023,"882_2",268
2023,"882_3",208
2023,"882_4",185
2023,"883_1",16
2023,"883_10",10
2023,"883_2",20
2023,"883_3",48
2023,"883_4",48
2023,"883_5",8
2023,"883_6",36
2023,"883_7",36
2023,"883_8",10
2023,"883_9",10
2023,"882H",122
2024,"486_2",148
2024,"486_3",42
2024,"486_4",126
2024,"486_5",202
2024,"5841_1",112
2024,"5841_2",80
2024,"5841_3",79
2024,"5841_4",46
2024,"5841_5",116
2024,"5841_6",50
2024,"5842_1",103
2024,"5842_2",206
2024,"882_1",184
2024,"882_2",322
2024,"882_3",242
2024,"882_4",222
2024,"883_1",13
2024,"883_10",10
2024,"883_2",20
2024,"883_3",38
2024,"883_4",38
2024,"883_5",8
2024,"883_6",43
2024,"883_7",43
2024,"883_8",10
2024,"883_9",10
2024,"882H",146
2025,"486_2",152
2025,"486_3",50
2025,"486_4",151
2025,"486_5",242
2025,"5841_1",112
2025,"5841_2",80
2025,"5841_3",79
2025,"5841_4",46
2025,"5841_5",116
2025,"5841_6",50
2025,"5842_1",124
2025,"5842_2",165
2025,"882_1",184
2025,"882_2",378
2025,"882_3",390
2025,"882_4",266
2025,"883_1",10
2025,"883_11",23
2025,"883_12",23
2025,"883_2",20
2025,"883_3",30
2025,"883_4",30
2025,"883_6",52
2025,"882H",166
