Subarea or Division,Research Block,Species,2018,2019,2020,2021,2022
48.1,481_1,D. mawsoni,,,,,PCL
48.1,481_2,D. mawsoni,,,,,PCL
48.1,481_3,D. mawsoni,,,,,x
48.2,482_N,D. mawsoni,,,,,PCL
48.2,482_S,D. mawsoni,,,,,PCL
48.6,486_2,D. mawsoni,PCLx0.8,Chapman,Chapman,Chapman,PCL
48.6,486_3,D. mawsoni,PCLx0.8,Chapman,CPUE,CPUE,PCL
48.6,486_4,D. mawsoni,PCLx0.8,CPUE,Chapman,Chapman,PCL
48.6,486_5,D. mawsoni,CPUE,Chapman,PCLx0.8,PCLx0.8,PCL
58.4.1,5841_1,D. mawsoni,CPUE,CPUE,CPUE,PCL,PCL
58.4.1,5841_2,D. mawsoni,CPUE,CPUE,CPUE,PCL,PCL
58.4.1,5841_3,D. mawsoni,CPUE,PCLx0.8,PCLx0.8,PCL,x
58.4.1,5841_4,D. mawsoni,CPUE,CPUE,X,PCL,x
58.4.1,5841_5,D. mawsoni,CPUE,CPUE,CPUE,PCL,PCL
58.4.1,5841_6,D. mawsoni,CPUE,PCLx0.8,PCLx0.8,PCL,PCL
58.4.2,5842_1,D. mawsoni,CPUE,CPUE,Chapman,Chapman,PCL
58.4.2,5842_2,D. mawsoni,,,,,x
58.4.3,5843a_1,D. eleginoides,PCLx0.8,PCLx0.8,PCLx0.8,PCL,PCL
58.4.4,5844b_1,D. eleginoides,CPUE,Chapman,PCLx0.8,PCL,PCL
58.4.4,5844b_2,D. eleginoides,CPUE,PCLx0.8,PCLx0.8,PCL,PCL
88.2,882_1,D. mawsoni,,PCLx0.8,CPUE,Chapman,PCL
88.2,882_2,D. mawsoni,,Chapman,Chapman,Chapman,PCL
88.2,882_3,D. mawsoni,,CPUE,CPUE,CPUE,PCL
88.2,882_4,D. mawsoni,,PCLx0.8,Chapman,Chapman,PCL
88.2,882H,D. mawsoni,,CPUE,Chapman,PCLx0.8,PCL
88.3,883_1,D. mawsoni,,PCLx0.8,PCLx0.8,PCL,PCL
88.3,883_2,D. mawsoni,,PCLx0.8,PCLx0.8,PCL,PCL
88.3,883_3,D. mawsoni,,CPUE,CPUE,PCL,PCL
88.3,883_4,D. mawsoni,,CPUE,Chapman,PCL,PCL
88.3,883_5,D. mawsoni,,PCLx0.8,PCLx0.8,PCL,PCL
88.3,883_6,D. mawsoni,,,,,PCL
88.3,883_7,D. mawsoni,,,,,PCL
88.3,883_8,D. mawsoni,,,,,PCL
88.3,883_9,D. mawsoni,,,,,x
88.3,883_10,D. mawsoni,,,,,x
Chapman (%),,,0,20.8,29.2,25,0
