"Polys","Fishable_area","Dtop","Dbot"
"481_1",1678.72,828.2,1617.8
"481_2",7538.48,663.425,1593.4
"481_3",NA,NA,NA
"482_N",13845.24,901.2,1728.325
"482_S",2575.68,852.4,1864.375
"486_2",12534.13,825.15,1950
"486_3",898.1,1182.275,1857.3
"486_4",9160.77,924.25,1812.375
"486_5",7345.14,963.525,1824.65
"5841_1",5777.62,674,1896.625
"5841_2",11224.93,851.375,1946.8
"5841_3",10112.47,774.575,1879.55
"5841_4",1599.5,669.425,2575.7
"5841_5",4938.56,624.375,1899
"5841_6",9180.31,734.775,1883.25
"5842_1",5968.37,700,1763.3
"5842_2",8099.53,678.625,1966.875
"5843a_1",21884.26,940,1601.1
"5844b_1",3742.76,783,1805.15
"5844b_2",5727.99,1145,1800
"882_1",11348.03,640,1521.2
"882_2",10053.01,610,1311.85
"882_3",7583.82,721.3,1765.7
"882_4",13916.55,623,1931.35
"882H",3824.73,1098,1881.375
"883_1",1571.62,1114.2,1726.3
"883_2",7872.61,585.175,1294.825
"883_3",11539.43,661.525,2066.175
"883_4",5421.68,665,1872.375
"883_5",1348.06,676,1700
"883_6",5347.92,688.025,968.1
"883_7",11897.11,638.425,1386
"883_8",680.56,610.075,1560.325
"883_9",155.63,1535.2,2197
"883_10",NA,NA,NA
"HIMI",158311.06,408,1982
"RSR_open",83919.01,640,1820
