x,y,text
363828,4202945,486_2
215803.5,2990000,486_3
850000,2301908,486_4
-450306.4,2400000,486_5
-1250000,-498554,882_1
-1250000,-750000,882_2
-1280000,-980000,882_3
-850000,-1200000,882_4
-2450000,-450000,883_1
-1500000,-200000,883_2
-2650000,150000,883_3
-2750000,400000,883_4
-2600000,1070000,883_5
-1550000,100000,883_6
-1500000,460000,883_7
-3180000,-70000,883_8
-3250000,620000,883_9
-3220000,850000,883_10
3250000,-124233,5841_1
3400000,-413549,5841_2
3050000,-1104336,5841_3
2850000,-1400000,5841_4
2300000,-2200000,5841_5
2600000,-1870809,5841_6
2580000,990000,5842_1
3412762,1700000,5843a_1
2450000,2730000,5844b_1
2500000,2500000,5844b_2
-1950000,-1461516.648,882H
2172554.788,1900000,5842_2
-2300000,2150000,481_1
-1900000,1950000,481_2
-1800000,1700000,481_3
-1500000,2900000,482_N
-1350000,2600000,482_S
