"RB","S","nRB","n5km","n1fsr","n2fsr"
"482_N",2018,1,0,0,1
"482_N",2019,15,0,0,5
"482_S",2018,9,0,0,5
"482_S",2019,37,0,0,5
"486_2",2012,171,0,7,7
"486_4",2012,77,1,3,5
"486_4",2013,122,0,9,9
"486_4",2022,116,1,4,4
"486_5",2020,61,0,2,2
"486_5",2022,80,0,10,10
"5841_1",2013,8,0,0,1
"5841_2",2013,2,0,0,-1
"5841_2",2014,33,0,0,6
"5841_2",2016,37,0,0,23
"5841_3",2016,72,3,16,16
"5841_5",2016,11,0,3,18
"5842_1",2012,34,3,24,39
"5843a_1",2017,42,0,0,3
"5844b_1",2013,31,0,0,21
"5844b_1",2014,38,0,0,34
"5844b_1",2015,46,0,0,48
"5844b_1",2016,38,0,0,36
"5844b_1",2017,61,0,0,41
"5844b_1",2019,24,0,0,6
"5844b_2",2013,32,0,0,-21
"5844b_2",2014,46,0,0,-34
"5844b_2",2015,50,0,0,-48
"5844b_2",2016,50,0,0,-36
"5844b_2",2017,82,0,0,-41
"5844b_2",2018,18,0,0,-7
"882_2",2017,26,0,0,22
"882_2",2019,156,0,1,2
"882_2",2020,164,0,0,2
"882_2",2021,81,0,0,15
"882_2",2022,155,0,0,50
"882_2",2023,80,0,0,20
"882_2",2024,225,0,0,49
"882_2",2025,356,0,0,37
"882_3",2012,26,0,1,1
"882_3",2014,48,1,5,9
"882_3",2017,66,0,0,-22
"882_3",2019,4,0,0,-1
"882_3",2020,48,0,0,-2
"882_3",2021,33,0,0,-15
"882_3",2022,103,0,0,-50
"882_3",2023,31,0,0,-20
"882_3",2024,121,0,0,-49
"882_3",2025,181,0,0,-37
"883_4",2020,43,0,0,13
"883_4",2022,85,0,0,15
"883_4",2023,86,0,0,9
"883_6",2020,15,0,0,-1
"883_6",2024,15,0,0,-3
"883_7",2020,15,0,0,-13
