ID,Labx,Laby,Labx2,Laby2,adjx,adjy
486_2,353013.0397,3875984.674,353013.0397,3875984.674,0.5,0.5
486_3,157201.8495,2750189.041,157201.8495,2750189.041,0.5,0.5
486_4,399177.9234,2281979.678,399177.9234,2281979.678,0.5,0.5
486_5,-397761.6334,2115988.254,-397761.6334,2115988.254,0.5,0.5
5842_1,2464743.766,753547.7911,2464743.766,753547.7911,0.5,0.5
5842_2,2172568.024,1578463.065,2172568.024,1578463.065,0.5,0.5
5843a_1,3412838.586,1310065.991,3412838.586,1310065.991,0.5,0.5
882_1,-1665703.51,-493403.8584,-1400000,-493403.8584,-0.1,0.5
882_2,-1634910.01,-771073.6195,-1634910.01,-771073.6195,0.5,0.5
882_3,-1759280.657,-954912.0305,-1759280.657,-954912.0305,0.5,0.5
882_4,-1308171.054,-1263286.102,-1308171.054,-1263286.102,0.5,0.5
5841_1,2761294.808,-124230.601,2761294.808,-124230.601,0.5,0.5
5841_2,2885312.623,-413553.7158,2885312.623,-413553.7158,0.5,0.5
5841_3,2539848.309,-1104357.475,2539848.309,-1104357.475,0.5,0.5
5841_4,2398160.861,-1329322.272,2398160.861,-1329322.272,0.5,0.5
5841_5,1800930.499,-2041688.254,1800930.499,-2041688.254,0.5,0.5
5841_6,2077777.224,-1870839.016,2077777.224,-1870839.016,0.5,0.5
482_N,-1979406.881,2710844.114,-1979406.881,2710844.114,0.5,0.5
482_S,-1847860.682,2517685.759,-1847860.682,2517685.759,0.5,0.5
5844b_1,3001954.179,2672018.07,3300000,3000000,0.5,-0.1
5844b_2,3038739.973,2465718.894,3300000,2100000,0.5,1.1
481_1,-2425391.058,1861068.015,-2425391.058,2100000,0.5,-0.1
481_2,-2339788.935,1795383.196,-2000000,2000000,-0.1,0.5
481_3,-2239143.854,1718155.509,-2239143.854,1500000,0.5,1.1
883_11,-2121247.455,-279267.5255,-2121247.455,-279267.5255,0.5,0.5
883_12,-2137515.237,-93325.93071,-2137515.237,-93325.93071,0.5,0.5
883_1,-2053575.809,-493019.9319,-2053575.809,-493019.9319,0.5,0.5
883_2,-1746289.504,-427929.7714,-1400000,-300000,-0.1,0.5
883_3,-2225019.616,93361.52723,-2225019.616,93361.52723,0.7,0.5
883_4,-2267088.343,381327.9538,-2267088.343,381327.9538,1.1,1
883_5,-2436081.396,799894.8061,-2436081.396,799894.8061,0.5,0.5
883_6,-1944488.205,84898.18851,-1700000,84898.18851,-0.1,0.5
883_7,-2005729.058,472286.5011,-2005729.058,472286.5011,0.5,0.5
883_8,-2740102.864,-83717.71422,-2740102.864,-83717.71422,0.5,0.5
883_9,-2785912.786,720486.0349,-2900000,500000,0.5,1.1
883_10,-2772914.263,768997.1836,-2900000,1000000,0.4,-0.2
882H,-1904328.175,-1461242.403,-1904328.175,-1461242.403,0.5,0.5
