Name,Lat,Lon
883_11,-70,-100
883_11,-70,-95
883_11,-71.5,-95
883_11,-71.5,-100
883_12,-70,-95
883_12,-70,-90
883_12,-71.5,-90
883_12,-71.5,-95
883_1,-70.5,-105
883_1,-70.5,-102
883_1,-71.5,-102
883_1,-71.5,-105
883_2,-72.5,-105
883_2,-72.5,-103
883_2,-74,-103
883_2,-74,-102
883_2,-75,-102
883_2,-75,-105
883_3,-69,-90
883_3,-69,-85
883_3,-70.5,-85
883_3,-70.5,-86
883_3,-71,-86
883_3,-71,-90
883_4,-69,-85
883_4,-69,-83
883_4,-68.5,-83
883_4,-68.5,-80
883_4,-68,-80
883_4,-68,-76
883_4,-69.5,-76
883_4,-69.5,-79
883_4,-70.5,-79
883_4,-70.5,-85
883_9,-63.5,-76
883_9,-63.5,-75
883_9,-64.5,-75
883_9,-64.5,-76
883_10,-63.5,-75
883_10,-63.5,-74
883_10,-64.5,-74
883_10,-64.5,-75
882_1,-73.8,-108
882_1,-73.8,-105
882_1,-75,-105
882_1,-75,-108
