Name,Latitude,Longitude
486_2,-54,2
486_2,-53.5,2
486_2,-53.5,3
486_2,-53,3
486_2,-53,9
486_2,-54,9
486_2,-54,8
486_2,-56,8
486_2,-56,7
486_2,-56.5,7
486_2,-56.5,4
486_2,-55.5,4
486_2,-55.5,2
486_2,-55,2
486_2,-55,1
486_2,-54,1
486_3,-64.5,7
486_3,-65,7
486_3,-65,4
486_3,-66,4
486_3,-66,1
486_3,-64.5,1
486_4,-68.333,10
486_4,-68.333,13
486_4,-69.5,13
486_4,-69.5,10
486_4,-69.75,10
486_4,-69.75,6
486_4,-69,6
486_4,-69,10
486_5,-71,-15
486_5,-71,-13
486_5,-70.5,-13
486_5,-70.5,-11
486_5,-70.5,-10
486_5,-69.5,-10
486_5,-69.5,-9
486_5,-70,-9
486_5,-70,-8
486_5,-69.5,-8
486_5,-69.5,-7
486_5,-70.5,-7
486_5,-70.5,-10
486_5,-71,-10
486_5,-71,-11
486_5,-71.5,-11
486_5,-71.5,-15
5842_1,-66,76
5842_1,-67.5,76
5842_1,-67.5,70
5842_1,-66,70
5842_2,-65,58
5842_2,-66.5,58
5842_2,-66.5,50
5842_2,-65,50
5843a_1,-56,73
5843a_1,-57.5,73
5843a_1,-57.5,65
5843a_1,-56,65
882_1,-73.8,-108
882_1,-73.8,-105
882_1,-75,-105
882_1,-75,-108
882_2,-73.3,-119
882_2,-73.3,-111.5
882_2,-74.2,-111.5
882_2,-74.2,-119
882_3,-72.2,-122
882_3,-70.833,-115
882_3,-71.7,-115
882_3,-73.2,-122
882_4,-72.6,-140
882_4,-72.6,-128
882_4,-74.7,-128
882_4,-74.7,-140
5841_1,-64.5,92
5841_1,-64,92
5841_1,-64,95
5841_1,-65.5,95
5841_1,-65.5,94
5841_1,-66,94
5841_1,-66,90
5841_1,-64.5,90
5841_2,-62.5,100
5841_2,-65,100
5841_2,-65,97
5841_2,-64,97
5841_2,-64,96
5841_2,-62.5,96
5841_3,-64,115
5841_3,-66,115
5841_3,-66,112
5841_3,-64,112
5841_4,-64.5,120
5841_4,-66,120
5841_4,-66,118
5841_4,-64.5,118
5841_5,-64.5,140
5841_5,-66.5,140
5841_5,-66.5,138
5841_5,-66,138
5841_5,-66,137
5841_5,-64.5,137
5841_6,-64,134
5841_6,-65.5,134
5841_6,-65.5,130
5841_6,-64,130
482_N,-57.667,-37
482_N,-58.167,-34
482_N,-60.167,-34
482_N,-60.5,-35
482_N,-61,-35.333
482_N,-60.833,-35.5
482_N,-61.667,-37.667
482_N,-60.833,-38.5
482_S,-61.167,-39.417
482_S,-61.667,-37.667
482_S,-60.833,-35.5
482_S,-61,-35.333
482_S,-60.5,-35
482_S,-60.167,-34
482_S,-62.5,-34
482_S,-62.5,-39.417
5844b_1,-52.771,48.542
5844b_1,-52.896,48.542
5844b_1,-52.896,48.792
5844b_1,-53.146,48.792
5844b_1,-53.146,48.292
5844b_1,-53.396,48.292
5844b_1,-53.396,49.292
5844b_1,-53.646,49.292
5844b_1,-53.646,48.542
5844b_1,-53.771,48.542
5844b_1,-53.771,48.292
5844b_1,-53.896,48.292
5844b_1,-53.896,47.792
5844b_1,-52.896,47.792
5844b_1,-52.896,48.042
5844b_1,-52.771,48.042
5844b_2,-54.354,50.625
5844b_2,-54.229,50.625
5844b_2,-54.229,50.875
5844b_2,-54.104,50.875
5844b_2,-54.104,51.125
5844b_2,-53.979,51.125
5844b_2,-53.979,52.125
5844b_2,-54.229,52.125
5844b_2,-54.229,51.875
5844b_2,-54.479,51.875
5844b_2,-54.479,51.625
5844b_2,-54.604,51.625
5844b_2,-54.604,49.375
5844b_2,-54.354,49.375
481_1,-62,-55
481_1,-62,-50
481_1,-62.667,-50
481_1,-62.667,-55
481_2,-62.667,-55
481_2,-62.667,-50
481_2,-64,-50
481_2,-64,-55
481_3,-64,-55
481_3,-64,-50
481_3,-65,-50
481_3,-65,-55
883_11,-70,-100
883_11,-70,-95
883_11,-71.5,-95
883_11,-71.5,-100
883_12,-70,-95
883_12,-70,-90
883_12,-71.5,-90
883_12,-71.5,-95
883_1,-70.5,-105
883_1,-70.5,-102
883_1,-71.5,-102
883_1,-71.5,-105
883_2,-72.5,-105
883_2,-72.5,-103
883_2,-74,-103
883_2,-74,-102
883_2,-75,-102
883_2,-75,-105
883_3,-69,-90
883_3,-69,-85
883_3,-70.5,-85
883_3,-70.5,-86
883_3,-71,-86
883_3,-71,-90
883_4,-69,-85
883_4,-69,-83
883_4,-68.5,-83
883_4,-68.5,-80
883_4,-68,-80
883_4,-68,-76
883_4,-69.5,-76
883_4,-69.5,-79
883_4,-70.5,-79
883_4,-70.5,-85
883_5,-67,-74
883_5,-67,-73
883_5,-66.5,-73
883_5,-66.5,-72
883_5,-66,-72
883_5,-66,-71
883_5,-65.5,-71
883_5,-65.5,-70
883_5,-67,-70
883_5,-67,-71
883_5,-67.5,-71
883_5,-67.5,-72
883_5,-68,-72
883_5,-68,-74
883_6,-72,-90
883_6,-72,-85
883_6,-73,-85
883_6,-73,-90
883_7,-73,-75
883_7,-73,-78.5
883_7,-70,-78.5
883_7,-70,-75
883_8,-64.5,-94
883_8,-64.5,-89.5
883_8,-66,-89.5
883_8,-66,-94
883_9,-63.5,-76
883_9,-63.5,-75
883_9,-64.5,-75
883_9,-64.5,-76
883_10,-63.5,-75
883_10,-63.5,-74
883_10,-64.5,-74
883_10,-64.5,-75
882H,-65,-150
882H,-65,-105
882H,-70.83333333,-105
882H,-70.83333333,-150
